EventType,Title,Story,StoryResult,HP,Money,Sanity,SkipRound,RepeatRound
Normal,都市气息,地铁从你面前呼啸而过，你感受到都市的气息扑面而来……嗯！好臭！！,,-1,,,,
Normal,有零钱吗,衣不蔽体的流浪汉歪坐在地铁口，“有零钱吗，有零钱吗？”你对上了他的眼神。,,,-1,,,
Normal,坐下歇歇,找到一个干净的座位！城市里走到腿断的你舒舒服服的坐下来。,,1,,,,
Normal,那是什么,虽说纽约地上的东西不要随便捡，但今天你捡到了一块钱！,,,1,,,
Normal,那是什么2,一抬眼，一个貌似天仙的帅哥/美女坐在你对面的座位上，你偷偷看了ta一眼，不禁感慨，在纽约普通人也像明星一样。又是饱眼福的一天！,,,,1,,
Normal,区间车,车来了，快上快上……,糟糕，上的是区间车，要去的那一站不停！,,,,,TRUE
Normal,反方向,站台两边到底应该坐哪一边呢？好像都写着同一辆车的名字诶……,糟糕，方向坐反了！,,,,,
Normal,地铁堵车,“因前方拥堵，本列车将延迟到站，具体时间不详，请关注后续播报……”,,,,,TRUE,
Check,孩童,一个墨西哥妈妈，背上背着一个婴儿，手里牵着五六岁的小女儿，在拥挤的车厢里艰难穿行。小女儿手里抱着一个小盒，里面放着CVS超市里卖的最便宜的巧克力，饼干，和能量棒。她们走到你面前，支支吾吾好像不会说英语。小姑娘圆圆的脸蛋有点灰扑扑的，一双棕色的大眼睛怯怯的看着你，睫毛扑闪扑闪。你看看她，再看看她篮子里的食物，知道这肯定不比CVS便宜,,,,,,
Check,巡演,地铁到站，车门打开，跑进车厢一支黑人乐队。一人抱着吉他，一人抱着手鼓，一人提着音箱和话筒。车门关闭，他们立刻开始弹琴唱歌，小小的车厢充满了他们巨大的音乐声，所有低头的乘客也不自觉抬起头看着他们。下一站到站之前的五分钟，这里便是他们的舞台。他们三人背着乐器，边走边弹，一路从车厢头走到车厢尾。到站后，他们会立刻奔进下一节车厢，进行下一站巡演。在这不算太美妙的音乐声中，你看见他们背上挂着乐队介绍和收款二维码。,,,,,,
Check,飞跃,进站口的栏杆并不是很高，你双手一撑，轻轻松松就跃了过去。啊，这就是自由的感觉！,,,,,,
Check,空车厢,远远看去，有一个很空的车厢。你兴高采烈的上去以后，发现车厢长条座椅上，躺着一个熟睡流浪汉，旁边是一个破旧不堪的行李包里面装着他的所有家当。空荡荡的车厢里充斥酸臭味，你不知道他什么时候会醒来……你终于知道为什么刚刚有个金发白人老太捂着鼻子从这节车厢下来，又往前走了一节，上了同一辆地铁。,,,,,,
